"id_sample","id_condition","cat_condition_type","id_es","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
"104","104Nm","2","15","Summary test","NO - Not standardized",3.61,1.72,19,6.4,1.81,19,5.47,2.72,19,1.5,NA,NA
"104","104Nm","2","16","Passage test","NO - Not standardized",5.89,2.16,19,7.84,3.83,19,8.63,4.87,19,1.5,NA,NA
"104","104Gcm","ctl","17","Summary test","NO - Not standardized",3.95,1.46,20,4.83,1.52,20,4,1.4,20,1.5,NA,NA
"104","104Gcm","ctl","18","Passage test","NO - Not standardized",5.8,2.34,20,8.45,3.83,20,8.4,4.69,20,1.5,NA,NA
"105","105Gm","1","19","Comprehension Skill","NO - Not standardized",7.8,2.5,11,12.5,3.7,11,NA,NA,NA,NA,NA,NA
"105","105Gm","2","20","Comprehension Skill","NO - Not standardized",7.8,1.9,11,11.5,3.4,11,NA,NA,NA,NA,NA,NA
"105","105m","ctl","21","Comprehension Skill","NO - Not standardized",7.6,2.9,11,8.5,2.2,11,NA,NA,NA,NA,NA,NA
"107","107Tm","1","25","Post 1-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,12.72,5.18,17,NA,NA,NA,NA,NA,NA
"107","107Tm","1","26","Post 2-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,13.44,4.91,17,NA,NA,NA,NA,NA,NA
"107","107Tm","2","27","Post 1-Paragraph Summarization","NO - Not standardized",6.81,4.81,16,11.41,6.61,16,NA,NA,NA,NA,NA,NA
"107","107Tm","2","28","Post 2-Paragraph Summarization","NO - Not standardized",6.81,4.81,16,11.56,6.55,16,NA,NA,NA,NA,NA,NA
"107","107m","3","29","Post 1-Paragraph Summarization","NO - Not standardized",7,3.84,19,9.73,4.49,19,NA,NA,NA,NA,NA,NA
"107","107m","3","30","Post 2-Paragraph Summarization","NO - Not standardized",7,3.84,19,9.36,5.62,19,NA,NA,NA,NA,NA,NA
"107","107bau","ctl","31","Post 1-Paragraph Summarization","NO - Not standardized",7.9,3.99,21,9.81,5.34,21,NA,NA,NA,NA,NA,NA
"107","107bau","ctl","32","Post 2-Paragraph Summarization","NO - Not standardized",7.9,3.99,21,8.66,3.95,21,NA,NA,NA,NA,NA,NA
"108","108Ncm","1","33","GRADE Reading Comprehension","YES - standardized",NA,NA,NA,32.1,14.33,462,NA,NA,NA,NA,NA,NA
"108","108bau","ctl","34","GRADE Reading Comprehension","YES - standardized",NA,NA,NA,31.6,14.11,389,NA,NA,NA,NA,NA,NA
