"id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity"
"146","146m",NA,"m","3","Strat","Yes (Including CAI)","classroom/ large group","School Staff",900,20,45,"Reported"
"146","146bau",NA,NA,"ctl","Control",NA,NA,NA,NA,NA,NA,NA
"147","147m",NA,"m","ctl","Comparison",NA,NA,NA,NA,NA,NA,NA
"147","147NVm","NV","m","1","RT","No / Not reported","classroom/ large group","Research Staff",630,14,45,"Reported"
"147","147NVGTm","NVGT","m","2","RT + SRL","No / Not reported","classroom/ large group","Research Staff",630,14,45,"Reported"
"148","148Nm","N","m","ctl","RT","No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported"
"148","148NVGm","NVG","m","1","RT + SIP (pretest sig.)","No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported"
"148","148NVGm","NVG","m","2","RT + ORP","No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported"
"148","148NGm","NG","m","3","RT + SRL","No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported"
"149","149NGm","NG","m","1","TWA + SRL","No / Not reported","small group (3–7 students)","Research Staff",260,13,20,"Reported"
"149","149Nm","N","m","ctl","RQ (reciprocal)","No / Not reported","small group (3–7 students)","Research Staff",260,13,20,"Reported"
"150","150bau",NA,NA,"ctl","Control",NA,NA,NA,NA,NA,NA,NA
"150","150cm",NA,"cm","1","TB","No / Not reported","small group (3–7 students)","Research Staff",533.96,15,35.5973333333333,"Reported"
"150","150Gcm","G","cm","2","TB + EF","No / Not reported","small group (3–7 students)","Research Staff",550.13,14.73,37.3475899524779,"Reported"
"151","151NVGm","NVG","m","1","Guided Reading","No / Not reported","small group (3–7 students)","Research Staff",1200,20,60,"Reported"
"151","151Nm","N","m","ctl","Explicit Comp. Proc","No / Not reported","small group (3–7 students)","Research Staff",1200,20,60,"Reported"
"152","152Nm","N","m","1","Treatment","No / Not reported","classroom/ large group","School Staff",2025,90,22.5,"Reported"
"152","152m",NA,"m","ctl","Control",NA,NA,NA,NA,NA,NA,NA
"153","153Nm","N","m","1","Treatment (n = 23)","No / Not reported","classroom/ large group","School Staff",2250,90,25,"Reported"
"153","153m",NA,"m","ctl","Comparison (n = 23)",NA,NA,NA,NA,NA,NA,NA
