"id_es","chr_authorname","id_study","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"* MAP composite","YES - standardized",185.47,9.02,20,188.94,9.4,20,"199.33",8.58,20,12,NA,NA
205,"Schunk et al., 1996","136","USA","USA","English","English","School Environment","peer reviewed paper","RCT","136","136m",NA,"m","1","Fading only","5","Elementary",10.7,1,NA,0.85,0.272727272727273,0.363636363636364,0.909090909090909,"Yes (Including CAI)","small group (3–7 students)","Research Staff",420,12,35,"Not reported","comprehension skill test","NO - Not standardized",5.6,1.4,11,12.1,2.6,11,NA,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136","136VTm","VT","m","2","Feedback only","5","Elementary",10.4,1,NA,0.85,0.272727272727273,0.363636363636364,0.636363636363636,"Yes (Including CAI)","small group (3–7 students)","Research Staff",420,12,35,"Not reported","comprehension skill test","NO - Not standardized",5.4,1.2,11,10,1.9,11,NA,NA,NA,NA,NA,NA
207,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136","136VTm","VT","m","3","Fading + feedback","5","Elementary",10.8,1,NA,0.85,0.272727272727273,0.454545454545455,0.727272727272727,"Yes (Including CAI)","small group (3–7 students)","Research Staff",420,12,35,"Not reported","comprehension skill test","NO - Not standardized",5.8,1.5,11,13.1,2.4,11,NA,NA,NA,NA,NA,NA
208,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136","136m",NA,"m","ctl","No fading/feedback","5","Elementary",10.8,1,NA,0.85,0.181818181818182,0.272727272727273,0.727272727272727,"Yes (Including CAI)","small group (3–7 students)","Research Staff",420,12,35,"Not reported","comprehension skill test","NO - Not standardized",5.5,3.2,11,7.1,2.1,11,NA,NA,NA,NA,NA,NA
209,"Schunk & Rice., 1992","137","USA","USA","English","English","School Environment","peer reviewed paper","RCT","137","137Nm","N","m","1","Strategy Instruction","5","Elementary",10.6,1,NA,0.85,0.25,0.575757575757576,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Not reported","comprehension skill test","NO - Not standardized",5.7,1.7,11,7.9,3.1,11,"7.8",2.6,11,2.5,NA,NA
210,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137","137NVTm","NVT","m","2","Strategy Feedback","5","Elementary",10.6,1,NA,0.85,0.25,0.575757575757576,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Not reported","comprehension skill test","NO - Not standardized",6.4,1.7,11,10.8,2.2,11,"10.6",2.6,11,2.5,NA,NA
211,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137","137m",NA,"m","ctl","Control","5","Elementary",10.6,1,NA,0.85,0.25,0.575757575757576,0.74,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Not reported","comprehension skill test","NO - Not standardized",6.5,2.9,11,7.2,3.3,11,"7.5",2.8,11,2.5,NA,NA
212,"van Rijk et al., 2017","138","Netherlands","non-USA","Dutch","non-English","School Environment","peer reviewed paper","QED","138","138Nm","N","m","1","DE (Developmental Education) - CORI","4","Elementary",9.5,NA,NA,0.074,0.054,0.461,0.314,"No / Not reported","classroom/ large group","School Staff",2880,64,45,"Not reported","PIRLS Read comprehension","NO - Not standardized",7.33,3.09,248,9.26,3.43,243,NA,NA,NA,NA,NA,NA
213,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138","138m",NA,"m","ctl","PI (Programmatic Instruction)","4","Elementary",9.5,NA,NA,0.058,0.019,0.494,0.253,"No / Not reported","classroom/ large group","School Staff",2880,64,45,"Not reported","PIRLS Read comprehension","NO - Not standardized",6.93,2.96,293,9.62,3.41,291,NA,NA,NA,NA,NA,NA
214,"McBreen & Savage, 2022","139","Canada","non-USA","English","English","School Environment","peer reviewed paper","RCT","139","139NGTcm","NGT","cm","1","Cognitive + Motivational","3","Elementary",8.99,1,"0",0,0,0.64,0.44,"No / Not reported","small group (3–7 students)","Research Staff",900,20,45,"Reported","GRADE Sentence Comprehension subtest","YES - standardized",2.55,0.93,14,2.36,1.03,14,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139","139cm",NA,"cm","ctl","Cognitive-Only","3","Elementary",8.99,1,"0",0,0,0.64,0.44,"No / Not reported","small group (3–7 students)","Research Staff",900,20,45,"Reported","GRADE Sentence Comprehension subtest","YES - standardized",1.86,0.95,11,2.29,1.2,11,NA,NA,NA,NA,NA,NA
